path	provenance	license	header_owners	source_reference
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik_with_multiple_targets.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik_with_multiple_targets_vel_cost.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik_with_rest_cost.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_trajopt.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/saved_scripts/bowl_lower_rack_common.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/debug_observation_smoke.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/drawer_candy_bar_place.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/drawer_observe_pull_open_x.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/drawer_push_close_x.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/full_demo_speed.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/grasp_lift_place_bottle_rack_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/handover_chocolate_bar_left_to_right_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/anygrasp_chocolate_handoff_trash_no_motion_plan.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/anygrasp_orange_bowl_topdown_reference_no_motion.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/bimanual_lift_white_dish_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/bottle.sh	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/bottle_fixed_pour_waypoint_robustness_sweep.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/bottle_pour_then_rack_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/bottle_rack_waypoint_robustness_sweep.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/calibrate_gripper_geometry_top_camera.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/close_gripper_api_smoke.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/dry_bimanual_bottle_to_can_pour.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/dry_bottle_to_cup_pour_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/grasp_lift_bottle_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/grasp_lift_can_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/grasp_lift_cyan_cup_one_shot_loop.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/gripper_api_smoke.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/gripper_open_close_api_smoke.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/kitkat_handover_clearance_waypoint_sweep.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/saved_scripts/legacy_codes/kitkat_trash_waypoint_robustness_sweep.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
